ID,UF_CLIENTID_BANK,UF_CLIENTID_FOND,UF_GUID_AP
442,8968,999-9003-000039132,E7175FB8-C8DF-4114-A855-7055228D73D5
441,8956,999-9003-000039120,3310EB6B-0925-480D-B58A-BE4812F881C8
440,8952,999-9003-000039116,181F9812-1A98-4623-8B86-A59B5638FC3E
439,8907,999-9003-000039071,D63FA921-A241-44E1-9572-EB956DCEADA3
438,8895,999-9003-000039059,3D4FE77F-6EA9-4406-9F0B-B9B75FC57F18
437,8819,999-9003-000038983,F7F65A2A-314F-459F-98A0-2B31FDE73B34
436,8750,999-9003-000038914,34CF6FEB-554C-49DF-836E-9E40997F8FA7
435,8719,999-9003-000038883,356087F1-9A7A-456C-B700-01A3AC5B145D
434,8710,999-9003-000038874,F6F97FA3-E351-47B1-9A72-FEA9EF9FA067
433,8613,999-9003-000038777,C70BCA84-C84A-4D1A-96F2-CC2C64751DA1
432,8603,999-9003-000038767,6E2F406D-ACC3-45A9-ADF4-717E70AF9FAD
431,8570,999-9003-000038734,08A225E1-39F7-4D89-B443-571BFCF61056
430,8569,999-9003-000038733,7596ADEC-4EBE-4D87-BFE0-3DC3594FF9E6
429,8500,999-9003-000038664,19EC6F75-A103-40A4-8F8A-833D2F451943
428,8487,999-9003-000038651,9F71BB2A-246A-4CBA-92F9-D7D6A2AFBE4B
427,8381,999-9003-000038545,CF8A1CDB-A06C-456D-86EA-9EAC8C4F3B75
426,8345,999-9003-000038509,90BD4A18-7D45-4880-904C-1F554F230942
425,8290,999-9003-000038454,972B9679-EBE5-413D-BE15-1A66D8DC2F5F
424,8246,999-9003-000038410,6F4CDCE2-B61A-4CDD-BFBF-DFA3077BF39A
423,8197,999-9003-000038361,4A175114-FEE8-4C49-BB0F-6C1AA97EC408
422,8148,999-9003-000038312,0CDEF17F-0BCC-422E-89EA-A3D3C55602A0
421,8127,999-9003-000038291,A45AB486-5316-4F63-A54C-6079D6FDD355
420,8071,999-9003-000038235,CBA39668-791B-4A10-8AC8-0A8BB6B03726
419,7969,999-9003-000038133,30FF4BDF-92F7-4D97-A1C6-EE51C92929E1
418,7952,999-9003-000038116,F058DFB2-333B-4DE5-B1E8-2E9CB11A071B
